StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,StudyEfficiencyScore,ScreenTimeHours,SleepHours
1001,17,1,0,2,19.833722807854716,7,1,2,0,0,1,0,2.929195591667681,2.0,2.4792153509818395,4.19816047538945,6.4637753849715605
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0,15.40875605584674,5.802857225639665,7.3516638792709585
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0,0.15594702847452813,7.52797576724562,8.424925881025903
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,3.0,0.6685886315972145,5.794633936788147,8.386947318738848
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0,0.25958307072062947,4.324074561769747,9.187904845762672
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0,8.191218545250186,2.6239780813448106,8.878720050869958
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0,1.418334588609027,3.232334448672798,7.15874793924092
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0,0.6706302741655684,7.6647045830997405,7.352939432546928
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0,2.2810037790238513,4.504460046972834,7.702080148084754
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0.0,18.4444663630972,4.832290311184182,6.752618330442186
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0,0.987613637941378,3.18233797718321,8.297289451019076
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,4.0,0.4749053637025181,7.379639408647977,9.047942829850086
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0,0.456305073437146,7.4297705632016875,7.378954402498318
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0,0.5500647758524944,4.949356442713105,7.493625363548065
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3.0,1.1197810636915708,3.6272998688284024,7.867016057828966
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0,0.5404500394846425,4.4336180394137354,8.167270508337447
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976,3.0,0.6732437387858669,4.616968971838151,7.585332631860377
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,4.0,0.20754342403280726,5.6990257265289515,8.859206701376273
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4.0,0.5418219362031196,6.627780074568463,7.137614517855183
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945307,3.0,1.0835206398820307,4.064916560792168,7.90925322467883
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,2.0,0.8738657446980206,4.6474115788895185,9.010982400592445
1022,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148,4.0,0.589351616602137,5.057975442608168,7.470896931739913
